User ID	Phone Number	First Name	Last Name	District	State	Language	Pin Code	QR Code	Land Acreage	Crop Name	Scan Date	RIN	Retailer Name	Cart Items	Coupon Code	Submission Status	Source	PT	Zone
1	919876543210	Ramesh	Yadav	Lucknow	Uttar Pradesh	hi_IN	226001		3.5	wheat	01-04-2026 09:15	30101	Kisaan Agro Store	BS-7771 Maize - qty 2 - 400gm,Bioseed BH-36 Paddy - qty 1 - 400gm	SB100101	Yes	Direct Landing Page	Anil Kumar	LUCKNOW NORTH
2	919765432109	Sunita	Devi	Lucknow	Uttar Pradesh	hi_IN	226002		2.0	paddy	01-04-2026 10:22	30102	Green Field Seeds	BS-7771 Maize - qty 1 - 400gm	SB100102	Yes	QR Scan	Anil Kumar	LUCKNOW NORTH
3	919654321098	Mohan	Singh	Lucknow	Uttar Pradesh	hi_IN	226003		5.0	maize	01-04-2026 11:45	30103	Kisaan Agro Store	Bioseed BH-36 Paddy - qty 2 - 400gm	SB100103	Pending	Direct Landing Page	Anil Kumar	LUCKNOW NORTH
4	919543210987	Priya	Gupta	Lucknow	Uttar Pradesh	hi_IN	226004		1.5	soybean	02-04-2026 09:00	30104	Shree Ram Seeds	BS-7771 Maize - qty 1 - 400gm,Bioseed Sunflower - qty 1 - 500gm	SB100104	Yes	QR Scan	Anil Kumar	LUCKNOW SOUTH
5	919432109876	Deepak	Verma	Lucknow	Uttar Pradesh	hi_IN	226005		4.0	wheat	02-04-2026 10:30	30105	Green Field Seeds	Bioseed BH-36 Paddy - qty 3 - 400gm	SB100105	No	Direct Landing Page	Anil Kumar	LUCKNOW SOUTH
6	919321098765	Kavita	Sharma	Kanpur	Uttar Pradesh	hi_IN	208001		3.0	cotton	02-04-2026 11:00	30106	Jai Kisan Bhandar	BS-7771 Maize - qty 2 - 400gm	SB100106	Yes	QR Scan	Suresh Pandey	KANPUR RURAL
7	919210987654	Rajesh	Tiwari	Kanpur	Uttar Pradesh	hi_IN	208002		6.0	paddy	02-04-2026 13:15	30107	Krishi Sewa Kendra	Bioseed Cotton 8-17 - qty 1 - 475gm	SB100107	Yes	Direct Landing Page	Suresh Pandey	KANPUR RURAL
8	919109876543	Anita	Patel	Kanpur	Uttar Pradesh	hi_IN	208003		2.5	maize	03-04-2026 09:45	30108	Jai Kisan Bhandar	BS-7771 Maize - qty 1 - 400gm,Bioseed Sunflower - qty 2 - 500gm	SB100108	Yes	QR Scan	Suresh Pandey	KANPUR URBAN
9	918998765432	Vijay	Mishra	Kanpur	Uttar Pradesh	hi_IN	208004		3.5	wheat	03-04-2026 10:00	30109	Krishi Sewa Kendra	Bioseed BH-36 Paddy - qty 1 - 400gm	SB100109	Pending	Direct Landing Page	Suresh Pandey	KANPUR URBAN
10	918887654321	Rekha	Chauhan	Kanpur	Uttar Pradesh	hi_IN	208005		1.0	soybean	03-04-2026 11:30	30110	Shree Ram Seeds	Bioseed Cotton 8-17 - qty 2 - 475gm	SB100110	No	QR Scan	Suresh Pandey	KANPUR RURAL
11	918776543210	Santosh	Pal	Varanasi	Uttar Pradesh	hi_IN	221001		4.5	wheat	03-04-2026 14:00	30111	Annadata Agri Centre	BS-7771 Maize - qty 3 - 400gm	SB100111	Yes	Direct Landing Page	Manoj Shukla	VARANASI EAST
12	918665432109	Geeta	Bind	Varanasi	Uttar Pradesh	hi_IN	221002		2.0	paddy	04-04-2026 09:15	30112	Annadata Agri Centre	Bioseed BH-36 Paddy - qty 1 - 400gm,Bioseed Sunflower - qty 1 - 500gm	SB100112	Yes	QR Scan	Manoj Shukla	VARANASI EAST
13	918554321098	Arun	Dubey	Varanasi	Uttar Pradesh	hi_IN	221003		3.0	maize	04-04-2026 10:45	30113	Kisan Seva Samiti	BS-7771 Maize - qty 2 - 400gm	SB100113	Yes	QR Scan	Manoj Shukla	VARANASI WEST
14	918443210987	Nirmala	Yadav	Varanasi	Uttar Pradesh	hi_IN	221004		5.5	cotton	04-04-2026 12:00	30114	Kisan Seva Samiti	Bioseed Cotton 8-17 - qty 1 - 475gm	SB100114	Pending	Direct Landing Page	Manoj Shukla	VARANASI WEST
15	918332109876	Harish	Maurya	Varanasi	Uttar Pradesh	hi_IN	221005		2.5	wheat	04-04-2026 13:30	30115	Annadata Agri Centre	Bioseed BH-36 Paddy - qty 2 - 400gm	SB100115	Yes	Direct Landing Page	Manoj Shukla	VARANASI EAST
16	918221098765	Pushpa	Singh	Agra	Uttar Pradesh	hi_IN	282001		4.0	soybean	05-04-2026 09:00	30116	Agra Seed House	BS-7771 Maize - qty 1 - 400gm,Bioseed Sunflower - qty 3 - 500gm	SB100116	Yes	QR Scan	Ravi Saxena	AGRA NORTH
17	918110987654	Dinesh	Rawat	Agra	Uttar Pradesh	hi_IN	282002		6.0	paddy	05-04-2026 10:15	30117	Agra Seed House	Bioseed Cotton 8-17 - qty 2 - 475gm	SB100117	No	Direct Landing Page	Ravi Saxena	AGRA NORTH
18	917999876543	Sushma	Bhadauria	Agra	Uttar Pradesh	hi_IN	282003		1.5	maize	05-04-2026 11:45	30118	Kisan Kranti Seeds	BS-7771 Maize - qty 2 - 400gm	SB100118	Yes	QR Scan	Ravi Saxena	AGRA SOUTH
19	917888765432	Lokesh	Sharma	Agra	Uttar Pradesh	hi_IN	282004		3.0	wheat	05-04-2026 13:00	30119	Kisan Kranti Seeds	Bioseed BH-36 Paddy - qty 1 - 400gm	SB100119	Pending	Direct Landing Page	Ravi Saxena	AGRA SOUTH
20	917777654321	Chameli	Devi	Agra	Uttar Pradesh	hi_IN	282005		2.0	cotton	05-04-2026 14:30	30120	Agra Seed House	Bioseed Sunflower - qty 2 - 500gm	SB100120	Yes	QR Scan	Ravi Saxena	AGRA NORTH
21	917666543210	Brijesh	Tripathi	Prayagraj	Uttar Pradesh	hi_IN	211001		5.0	wheat	06-04-2026 09:30	30121	Triveni Agro Bhandar	BS-7771 Maize - qty 1 - 400gm,Bioseed Cotton 8-17 - qty 1 - 475gm	SB100121	Yes	Direct Landing Page	Prem Narayan	PRAYAGRAJ EAST
22	917555432109	Savitri	Pandey	Prayagraj	Uttar Pradesh	hi_IN	211002		3.5	paddy	06-04-2026 10:00	30122	Triveni Agro Bhandar	Bioseed BH-36 Paddy - qty 2 - 400gm	SB100122	Yes	QR Scan	Prem Narayan	PRAYAGRAJ EAST
23	917444321098	Umesh	Srivastava	Prayagraj	Uttar Pradesh	hi_IN	211003		4.0	maize	06-04-2026 11:15	30123	Allahabad Kisan Store	BS-7771 Maize - qty 3 - 400gm	SB100123	No	Direct Landing Page	Prem Narayan	PRAYAGRAJ WEST
24	917333210987	Manju	Kesharwani	Prayagraj	Uttar Pradesh	hi_IN	211004		2.5	soybean	06-04-2026 12:45	30124	Allahabad Kisan Store	Bioseed Sunflower - qty 1 - 500gm	SB100124	Pending	QR Scan	Prem Narayan	PRAYAGRAJ WEST
25	917222109876	Ashok	Rai	Prayagraj	Uttar Pradesh	hi_IN	211005		6.5	cotton	07-04-2026 09:00	30125	Triveni Agro Bhandar	Bioseed Cotton 8-17 - qty 2 - 475gm	SB100125	Yes	Direct Landing Page	Prem Narayan	PRAYAGRAJ EAST
26	917111098765	Kamla	Vishwakarma	Gorakhpur	Uttar Pradesh	hi_IN	273001		3.0	wheat	07-04-2026 10:30	30126	Gorakhpur Agri Hub	BS-7771 Maize - qty 2 - 400gm	SB100126	Yes	QR Scan	Rakesh Yadav	GORAKHPUR RURAL
